Reference	Reference Genome size	Query	Query Genome Size	Total number fragments	Mapped Fragments	Identity	Mapped Bases	Unmapped fragments	Unmapped Bases
13_15	4201303	10_33	4059816	8127	6879	92.1945009449	3436959	198	99000
13_15	4201303	23_GOM_1509m	4064145	8143	1944	84.5621625514	968943	319	158436
13_15	4201303	2ta16	6364398	12791	271	81.0549778598	133499	103	50386
10_33	4059816	13_15	4164000	8343	6890	92.180424238	3442306	224	111753
10_33	4059816	23_GOM_1509m	4064145	8143	1846	84.4282248104	920517	286	142076
10_33	4059816	2ta16	6364398	12791	268	80.9818134328	132757	108	52932
23_GOM_1509m	4064205	13_15	4164000	8343	1941	84.540321999	968836	304	151594
23_GOM_1509m	4064205	10_33	4059816	8127	1857	84.3167905223	926406	271	135354
23_GOM_1509m	4064205	2ta16	6364398	12791	291	80.681556701	144822	118	58009
2ta16	6364400	13_15	4164000	8343	264	80.9342840909	131506	138	68986
2ta16	6364400	10_33	4059816	8127	274	80.7932408759	135860	122	60978
2ta16	6364400	23_GOM_1509m	4064145	8143	303	80.6139669967	150612	127	62359
